Peak information
234.0479000000 18.1446341864
355.0278000000 1458.5252196327
414.5786000000 101.1113287904
425.0291000000 2.1325388974
523.6576000000 59.3955627779
540.8244000000 8.8001781963
635.6139000000 2.1383857286
707.8246000000 98.1849122925
770.3775000000 321.7441471296
839.3691000000 0.0960076174
845.7499000000 80.0950336698
900.9366000000 38.8924983233
974.1621000000 0.1253133953
999.4905000000 0.7663547577
1022.5571000000 3.3497362679
1066.1714000000 18.2472493065
1117.6154000000 40.0315662903
1195.9988000000 34.2901725542
1217.3550000000 3.8086487944
1226.7885000000 445.3487876714
1333.9969000000 243.6229570200
1371.0351000000 17.8930513191
1395.8376000000 131.8034756434
1535.5796000000 81.7684050301
1571.4831000000 152.1422497348
1689.2797000000 87.0024038955
1703.9916000000 120.6452162505
3200.3190000000 19.8222123125
3221.5607000000 1.0617553557
3230.8437000000 25.4660827284
3246.1578000000 26.6579812005
3252.7098000000 7.1034289305
3847.7965000000 53.1665083657
